Year,C Fips,Count,Population,Ozone,PM2.5,Not Carcinogen,Carcinogen,Radon,Education,Poverty,Unemployed,Median Income,Alcohol,Health Status,Unhealthy Days,Uninsured,HIV,Hep B,Hep C,Cancer Rate,Superfund,Fracking,Medicare Population,Disabled Medicare,Work Disabled,Drug Use,Major Depression
2004,89,1106,174867,1923537.0,524601.0,62031.97,3205.7,1.0797468354430375,16.6,19.0,14.26,71.2,77.3,21.7,7.6,15.64903612459755,4.035,15.565,140.659,0.6324806853208439,1.0,0.0,15.365391983621837,3.9635837522231183,3.677652158497601,7.076806944706549,5.430984691222472
2004,91,19,3430,3430.0,0.0,0.0,0.0,1.35,17.2,13.8,14.02,73.7,78.4,28.8,6.1,12.857142857142856,0.0,0.0,86.53,0.5539358600583091,0.0,0.0,17.113702623906704,2.623906705539359,12.186588921282798,6.967930029154519,5.510204081632653
2004,93,333,44394,0.0,0.0,100234.0,222.96,0.8740740740740741,17.7,22.6,14.76,58.1,77.2,26.6,8.0,18.536288687660495,4.466,11.164,49.124,0.750101365049331,2.0,0.0,18.69622020993828,3.36982475109249,5.4354192007929,7.032481866918953,5.539036806775691
2004,95,1963,409301,1637204.0,4911612.0,931772.5,12990.37,0.9,21.4,12.0,10.56,104.2,79.7,16.9,6.6,13.399185440543757,11.668,28.683000000000003,51.776,0.47959814415308055,1.0,0.0,8.91300045687648,1.5814767127370808,2.385286134165321,6.745891165670252,5.027107190063059
2004,97,2648,466809,0.0,0.0,45127.6438,209.27,0.5353658536585366,28.5,11.0,9.02,103.1,79.3,14.4,6.4,13.696394028392769,7.661,9.15,42.346,0.5672555584832341,1.0,0.0,11.929932799067714,1.8026644730500054,2.3191498021674817,6.799568988601335,5.250969882757188
2004,99,2054,492613,6403969.0,8374421.0,169128.0855,34991.005000000005,1.8000000000000005,14.1,19.5,14.98,80.6,77.8,21.1,7.0,18.149338324404756,5.711,10.606,95.455,0.41696016954485565,3.0,0.0,9.664381573364892,2.1408286017624385,3.196220968589948,6.948862494493649,4.9773351494986935
2004,101,378,86484,1037808.0,518904.0,0.0,0.0,1.106666666666667,15.3,17.5,16.46,78.8,77.3,24.0,7.7,18.558346052449007,9.292,13.939,78.985,0.4370750659081449,0.0,15.0,11.225197724434576,2.277877988992184,2.7935803154340686,6.9677628231811655,5.165117247120855
2004,103,391,59571,1250991.0,119142.0,627.0,0.0,0.8588235294117647,11.3,22.5,13.38,62.5,77.1,24.5,8.2,19.14018566080811,1.681,1.681,147.917,0.656359638078931,0.0,0.0,13.39745849490524,2.934313676117574,6.6257071393799,7.062161118665122,5.3129878632220375
2004,105,86,13159,13159.0,39477.0,0.0,0.0,0.3333333333333333,15.5,19.7,15.579999999999998,58.4,78.4,24.5,7.8,16.399422448514326,0.0,59.176,140.543,0.6535451022114143,0.0,0.0,16.65020138308382,4.164450186184361,8.214909947564404,7.150999316057451,5.760316133444791
2004,107,1448,398226,47388894.0,7566294.0,29319.04,0.935,1.8730158730158728,11.5,27.2,15.24,66.1,77.8,21.1,7.0,25.17213843395459,3.5010000000000003,13.253,79.767,0.36361262197847455,1.0,0.0,8.847488611994194,1.855479049584909,3.0776493749780274,6.948566894175669,4.797778146077855
